Sample Code,SKU Code,Size,Fabric,Print,Colour,Fabric Cost,Accessories Cost,Operational Cost,Stitching Cost,Margin
1-M-WH-LS-XS-SL-POL,1-M-WH-LS-S-SL-POL,Small,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-SL-POL,1-M-WH-LS-M-SL-POL,Medium,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-SL-POL,1-M-WH-LS-L-SL-POL,Large,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-SL-POL,1-M-WH-LS-XL-SL-POL,Extra Large,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-SL-POL,1-M-WH-LS-2XL-SL-POL,2X Large,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-SL-POL,1-M-WH-LS-3XL-SL-POL,3X Large ,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-RL-POL,1-M-WH-LS-S-RL-POL,Small,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-RL-POL,1-M-WH-LS-M-RL-POL,Medium,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-RL-POL,1-M-WH-LS-L-RL-POL,Large,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-RL-POL,1-M-WH-LS-XL-RL-POL,Extra Large,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-RL-POL,1-M-WH-LS-2XL-RL-POL,2X Large,Polyester,,White,18.75,0,0,0,0
1-M-WH-LS-XS-RL-POL,1-M-WH-LS-3XL-RL-POL,3X Large ,Polyester,,White,18.75,0,0,0,0
1-M-WH-SS-XS-SL-POL,1-M-WH-SS-S-SL-POL,Small,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-SL-POL,1-M-WH-SS-M-SL-POL,Medium,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-SL-POL,1-M-WH-SS-L-SL-POL,Large,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-SL-POL,1-M-WH-SS-XL-SL-POL,Extra Large,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-SL-POL,1-M-WH-SS-2XL-SL-POL,2X Large,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-SL-POL,1-M-WH-SS-3XL-SL-POL,3X Large ,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-RL-POL,1-M-WH-SS-S-RL-POL,Small,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-RL-POL,1-M-WH-SS-M-RL-POL,Medium,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-RL-POL,1-M-WH-SS-L-RL-POL,Large,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-RL-POL,1-M-WH-SS-XL-RL-POL,Extra Large,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-RL-POL,1-M-WH-SS-2XL-RL-POL,2X Large,Polyester,,White,17.45,0,0,0,0
1-M-WH-SS-XS-RL-POL,1-M-WH-SS-3XL-RL-POL,3X Large ,Polyester,,White,17.45,0,0,0,0
1-W-WH-LS-XS-SL-POL,1-W-WH-LS-XS-SL-POL,Extra Small,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-SL-POL,1-W-WH-LS-S-SL-POL,Small,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-SL-POL,1-W-WH-LS-M-SL-POL,Medium,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-SL-POL,1-W-WH-LS-L-SL-POL,Large,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-SL-POL,1-W-WH-LS-XL-SL-POL,Extra Large,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-SL-POL,1-W-WH-LS-2XL-SL-POL,2X Large,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-SL-POL,1-W-WH-LS-3XL-SL-POL,3X Large ,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-RL-POL,1-W-WH-LS-XS-RL-POL,Extra Small,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-RL-POL,1-W-WH-LS-S-RL-POL,Small,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-RL-POL,1-W-WH-LS-M-RL-POL,Medium,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-RL-POL,1-W-WH-LS-L-RL-POL,Large,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-RL-POL,1-W-WH-LS-XL-RL-POL,Extra Large,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-RL-POL,1-W-WH-LS-2XL-RL-POL,2X Large,Polyester,,White,18.75,0,0,0,0
1-W-WH-LS-XS-RL-POL,1-W-WH-LS-3XL-RL-POL,3X Large ,Polyester,,White,18.75,0,0,0,0
